amount,is_fraud,location,device_type,merchant_category,transaction_frequency,num_transactions_24hrs,num_transactions_48hrs,time_since_last_transaction
6252.74,0,53,0,2,3,0,8,23
1347.2,0,68,0,1,2,4,11,71
939.49,0,44,0,1,3,2,10,15
4126.67,1,56,1,0,10,6,9,3
3217.63,0,67,0,0,3,0,7,68
4445.03,1,39,1,5,3,17,22,10
5910.45,0,50,0,2,3,0,2,45
1379.42,0,4,0,1,3,1,3,12
8471.27,0,34,0,5,1,4,10,17
5528.64,1,49,0,0,2,13,20,4
2248.31,0,54,0,5,2,0,3,24
676.87,0,12,0,5,1,0,3,81
7297.7,0,53,0,1,3,0,9,47
3177.08,1,65,0,2,5,8,15,6
4331.82,0,53,0,0,1,0,1,66
4553.46,0,68,0,3,1,4,11,79
167.92,0,42,0,3,2,1,4,19
3718.48,0,24,0,3,3,5,12,75
2287.03,0,50,0,3,2,2,3,44
4972.1,0,11,0,2,2,0,1,77
8499.42,0,41,0,4,2,4,12,31
8780.24,0,67,0,4,2,4,6,95
5788.68,0,35,0,1,1,4,4,97
6369.21,0,50,0,1,1,1,9,14
8607.8,0,4,0,1,1,5,8,89
2278.52,1,1,1,3,6,17,25,7
9734.55,0,21,0,4,3,5,15,61
5452.42,0,50,0,3,2,2,4,81
9238.97,0,21,0,2,3,1,8,78
9027.73,0,53,0,5,2,0,8,24
9286.8,0,11,0,0,3,3,5,69
9612.26,0,67,0,5,2,5,11,100
384.55,0,50,0,3,2,5,12,39
9508.88,0,54,0,1,1,4,6,55
2193.09,0,22,0,3,2,0,4,61
2143.68,0,2,0,4,1,0,10,28
9241.02,0,66,0,4,1,5,11,66
218.67,0,35,0,4,2,4,10,47
2263.39,0,24,0,1,1,3,5,63
4227.16,0,64,0,3,2,2,7,42
3696.96,1,69,0,5,8,16,17,3
6461.77,0,32,0,0,3,4,6,31
5182.53,0,22,0,0,3,0,5,43
7479.35,0,41,0,3,3,2,5,45
1235.06,0,21,0,0,2,4,4,13
5529.98,0,44,0,3,1,2,4,44
4173.14,0,41,0,1,3,4,6,17
4446.56,0,63,0,3,2,3,13,84
4326.67,0,35,0,4,1,3,3,10
2896.56,0,35,0,0,2,4,4,16
2123.23,0,34,0,1,3,3,4,36
7461.8,0,22,0,5,3,1,11,20
1148.05,0,71,0,1,2,5,13,51
614.59,0,22,0,1,1,2,10,16
9854.97,0,22,0,2,1,4,8,50
3758.85,0,63,0,1,3,4,14,59
8565.95,0,67,0,0,2,2,6,29
578.24,0,21,0,0,1,2,4,45
8669.95,0,48,0,2,1,5,8,34
6302.18,0,43,0,2,2,5,10,91
1343.12,1,10,1,1,7,18,26,3
232.09,0,4,0,0,1,0,5,86
4143.92,1,40,0,0,6,8,18,5
3800.15,0,23,0,4,2,2,12,28
9453.51,0,54,0,5,3,0,0,90
735.25,0,32,0,4,3,2,6,89
7183.78,0,4,0,3,3,0,8,91
7317.52,0,54,0,2,3,2,10,79
4611.2,0,44,0,4,3,4,9,29
2111.83,0,11,0,4,2,4,5,51
2530.22,0,32,0,2,3,0,3,43
5029.53,0,63,0,2,3,1,8,65
1301.34,0,12,0,5,3,2,8,16
9034.98,0,21,0,5,3,0,1,56
2896.69,0,68,0,0,1,0,5,88
7944.51,0,23,0,3,3,1,8,11
7310.47,0,2,0,0,1,2,9,13
915.76,0,43,0,1,3,4,4,48
988.02,0,63,0,4,1,1,11,79
2862.47,0,48,0,0,3,1,3,38
2275.13,0,2,0,0,1,4,5,13
6545.92,0,67,0,4,3,1,5,95
3504.57,0,32,0,3,2,4,6,57
8244.21,0,50,0,4,2,3,11,72
676.68,0,3,0,4,1,1,8,46
1155.12,0,71,0,1,3,3,6,43
3356.44,0,71,0,5,1,0,2,90
5881.54,1,8,1,2,5,17,19,5
2285.24,0,34,0,1,3,3,4,49
4471.75,0,35,0,2,2,1,10,66
7755.12,0,68,0,1,3,5,13,48
8947.17,0,63,0,0,3,2,12,21
6454.83,0,12,0,1,1,1,11,58
8531.95,0,21,0,2,1,4,8,95
898.96,0,66,0,1,2,2,11,70
1872.4,0,12,0,2,1,4,14,95
1765.08,0,63,0,4,1,5,11,93
9566.41,0,41,0,1,2,3,8,48
2511.25,0,54,0,4,3,2,8,93
4777.56,0,2,0,0,2,5,11,58
1074.98,0,67,0,3,2,5,6,48
4482.53,0,50,0,1,3,5,8,79
8895.02,0,21,0,5,2,1,4,55
4233.65,1,5,0,2,2,6,12,1
2674.97,0,53,0,1,1,0,3,35
8528.82,0,42,0,2,3,0,10,91
3176.28,0,42,0,3,2,2,5,97
3533.1,0,54,0,3,2,2,12,74
5446.56,0,63,0,0,3,0,6,88
6262.93,0,3,0,1,1,1,1,17
7747.75,0,43,0,4,1,4,8,39
4992.13,0,44,0,1,3,0,3,70
2034.4,0,3,0,2,2,0,4,46
8057.98,0,46,0,0,1,0,8,68
3188.09,0,63,0,0,3,2,2,48
5702.06,0,53,0,5,1,1,3,22
2409.67,0,3,0,2,2,0,9,82
9705.36,1,59,1,0,7,11,13,5
8720.97,0,43,0,2,3,2,12,59
7610.43,0,32,0,0,3,0,0,88
1624.09,0,66,0,1,2,3,8,13
3975.48,0,34,0,0,2,1,9,44
7108.5,0,48,0,2,2,4,6,11
2621.36,0,60,0,3,1,4,7,44
5892.23,0,32,0,2,3,0,9,24
1569.22,0,63,0,3,3,3,11,95
1048.67,0,2,0,4,2,2,7,89
2743.57,0,34,0,5,1,0,2,67
8954.46,0,50,0,0,1,1,7,17
2823.82,0,71,0,3,1,0,6,69
6329.38,0,67,0,0,2,3,8,54
6766.59,0,35,0,5,1,4,10,19
919.44,0,66,0,5,2,3,4,69
4551.61,0,24,0,3,3,3,12,97
6114.19,0,68,0,2,1,0,5,54
6681.32,0,64,0,4,2,2,6,43
3441.94,0,2,0,2,2,0,4,42
5284.84,1,55,1,4,7,18,28,3
1988.88,0,12,0,3,1,2,12,93
8412.75,0,48,0,0,1,3,9,91
6754.36,0,64,0,0,1,5,14,66
4879.34,0,53,0,4,2,4,10,52
7707.46,0,34,0,0,2,0,10,25
6410.42,0,41,0,4,1,1,1,16
8604.41,0,53,0,4,2,1,3,51
7145.22,0,63,0,5,1,5,10,27
4229.1,0,4,0,3,1,3,3,71
7835.31,0,48,0,2,2,2,4,69
4758.33,0,32,0,5,2,3,12,72
5175.59,0,64,0,5,3,0,4,85
2606.33,0,2,0,5,1,2,6,79
2769.46,0,43,0,1,1,2,6,29
1720.95,0,42,0,5,2,4,10,65
8747.67,0,48,0,3,2,1,6,84
5984.93,0,32,0,1,1,1,3,12
4783.65,0,34,0,3,1,5,14,81
9498.76,0,48,0,0,3,2,2,87
3868.91,0,41,0,2,3,5,7,37
5098.89,0,24,0,4,1,4,13,64
1208.73,0,42,0,1,2,0,6,28
6175.85,0,44,0,4,1,0,2,71
9064.46,1,31,0,5,9,11,21,4
4315.63,0,4,0,5,3,1,8,83
1321.69,0,67,0,5,3,1,7,100
7963.2,0,48,0,3,3,3,10,30
5421.96,0,44,0,1,2,4,8,41
3970.36,0,24,0,2,1,5,7,62
7957.43,0,23,0,0,3,5,12,78
9813.61,0,24,0,4,2,5,13,35
5432.9,0,3,0,0,2,3,6,87
3299.59,0,68,0,1,2,5,15,83
4943.33,0,11,0,5,3,3,6,97
8638.56,0,21,0,1,1,2,9,27
6574.27,0,3,0,3,2,1,11,62
3990.98,0,44,0,0,2,5,15,46
9719.16,0,11,0,0,2,2,6,25
7891.73,0,34,0,2,2,2,7,100
7621.8,0,23,0,0,1,4,4,47
1579.67,0,23,0,5,1,5,9,98
8438.67,0,23,0,2,3,3,9,32
169.33,0,44,0,3,3,5,8,17
309.61,0,66,0,4,3,3,6,31
9979.42,0,42,0,3,2,4,11,39
4944.63,0,67,0,3,2,4,9,49
9683.93,0,60,0,2,1,5,6,78
87.32,0,48,0,0,3,5,7,64
2237.46,0,46,0,0,3,0,6,81
4170.63,0,41,0,3,2,3,11,58
2625.06,0,32,0,0,1,5,10,83
7957.45,0,64,0,4,3,3,9,95
9611.08,0,35,0,1,2,2,4,72
6669.67,0,54,0,3,3,5,13,38
2077.74,0,46,0,0,3,3,3,22
755.95,0,71,0,2,1,3,8,42
6533.79,0,11,0,5,1,3,12,28
2689.29,0,43,0,3,3,3,3,57
2566.21,0,68,0,4,3,3,8,73
8866.5,0,3,0,1,3,0,0,62
3469.92,0,21,0,1,1,4,13,29
6383.49,0,43,0,3,3,3,4,59
6229.9,0,22,0,3,1,4,8,23
4210.36,0,63,0,1,3,1,6,77
4452.23,0,12,0,0,1,5,13,82
1711.44,0,68,0,1,3,4,13,12
362.94,0,11,0,1,1,1,8,73
784.45,0,42,0,5,2,4,12,88
6011.52,0,67,0,1,2,4,10,16
4698.19,0,11,0,4,2,3,8,97
6120.85,0,41,0,3,1,1,2,80
7649.24,0,50,0,1,1,1,8,45
8014.84,0,22,0,0,3,4,8,16
4332.94,0,43,0,5,1,4,12,10
4809.85,0,50,0,4,1,1,1,54
9101.29,0,24,0,3,2,5,13,85
2881.99,0,71,0,5,1,1,9,74
2059.75,0,24,0,5,1,1,1,71
6017.9,1,58,0,4,1,19,24,3
1739.29,0,3,0,1,2,5,15,25
6745.51,0,60,0,3,1,1,10,52
4311.34,0,24,0,5,3,4,5,13
5982.64,0,41,0,2,2,1,11,56
6258.87,0,46,0,3,2,1,6,11
5323.2,0,46,0,5,3,0,7,84
2325.0,0,32,0,5,2,3,7,86
5000.02,0,2,0,3,2,4,7,47
5340.6,0,44,0,3,1,5,8,25
6452.01,0,50,0,3,3,4,11,15
1428.32,0,12,0,5,3,3,4,64
5748.79,0,32,0,4,3,5,11,35
8819.57,0,60,0,2,3,5,12,68
4362.63,0,32,0,3,2,2,6,14
8819.84,0,48,0,3,2,2,5,71
598.6,0,23,0,2,3,4,5,61
8722.97,0,71,0,4,1,3,6,39
3802.43,1,7,1,1,7,15,18,10
9404.75,0,2,0,0,3,0,2,88
7594.59,0,64,0,1,3,5,10,51
842.26,0,46,0,3,3,3,7,78
3569.55,1,16,0,5,4,9,15,4
4792.25,0,66,0,0,1,5,14,55
6524.91,0,32,0,5,1,2,7,94
8315.84,0,67,0,4,1,4,14,45
2692.32,0,48,0,4,2,3,4,51
5159.91,0,35,0,1,1,2,2,31
8681.31,0,2,0,5,1,2,4,81
7637.93,0,3,0,5,3,2,10,93
3868.47,0,64,0,3,3,3,10,51
8414.92,0,66,0,5,3,0,7,64
4755.66,0,54,0,4,2,1,2,66
5857.75,0,67,0,4,3,2,4,41
3788.92,0,23,0,2,1,3,11,57
1081.37,1,26,1,1,3,10,17,3
7012.34,0,54,0,5,1,5,12,22
1560.35,0,35,0,4,1,3,12,46
2022.11,0,32,0,5,2,4,12,34
8627.88,0,43,0,3,2,3,6,79
7490.74,0,42,0,4,1,4,4,14
5326.14,0,41,0,4,3,3,11,46
8915.79,0,32,0,2,1,3,7,27
7903.18,0,23,0,1,3,0,5,29
6645.25,0,23,0,2,2,4,13,12
5328.55,0,4,0,0,2,5,12,100
4931.69,0,42,0,4,1,0,0,33
3156.66,0,2,0,4,2,5,6,87
6745.82,0,60,0,3,3,5,9,98
5232.67,0,4,0,1,1,4,6,19
31.52,0,64,0,1,2,3,6,57
6362.88,0,60,0,5,1,5,10,57
4137.33,0,35,0,3,2,1,6,14
8375.4,0,2,0,4,3,3,3,12
536.78,0,64,0,5,1,4,14,71
5165.86,0,41,0,3,1,0,0,13
9386.54,1,0,1,5,9,17,22,10
8339.31,0,53,0,2,1,4,4,87
4902.35,0,32,0,0,2,4,6,49
6272.48,1,56,0,3,9,19,25,3
2966.07,0,48,0,2,1,2,3,82
5582.83,0,50,0,4,2,0,9,89
3858.11,0,11,0,5,2,4,13,73
39.48,0,43,0,3,1,3,6,17
8129.54,0,4,0,0,2,3,6,75
7533.64,0,42,0,0,2,4,5,25
3003.79,0,21,0,4,3,3,10,99
375.31,0,64,0,5,3,4,11,45
9818.43,0,48,0,5,2,2,3,34
3477.21,0,67,0,1,2,1,9,99
8714.73,0,21,0,1,1,2,10,57
3597.74,0,54,0,4,3,0,3,72
846.45,0,48,0,3,1,3,13,35
8104.01,0,67,0,1,2,5,13,66
1363.15,0,60,0,1,1,1,6,93
9895.0,0,68,0,3,3,1,4,32
4076.38,0,35,0,0,2,2,4,41
5460.88,0,12,0,2,2,0,1,68
7751.3,0,41,0,2,1,4,9,83
1141.83,0,43,0,0,2,1,4,18
9868.42,0,44,0,2,1,0,2,43
1737.21,0,54,0,4,3,1,6,96
2089.92,0,3,0,2,2,1,5,12
8270.4,0,66,0,2,1,5,15,65
9247.21,0,32,0,4,3,1,5,57
7155.22,0,43,0,4,1,1,10,68
72.96,0,32,0,5,2,1,1,27
9625.54,0,24,0,2,2,2,9,29
8696.5,1,28,1,0,3,11,20,5
2396.63,0,42,0,1,3,3,3,87
3374.37,0,21,0,2,1,2,2,75
9191.8,0,3,0,4,3,3,4,73
4431.15,0,32,0,3,2,4,6,41
7841.25,0,67,0,0,3,3,8,26
2780.85,0,64,0,1,1,0,4,72
8395.56,0,41,0,2,3,1,7,27
7093.04,1,61,1,3,4,8,10,0
9260.08,0,21,0,5,2,0,2,31
5075.08,0,32,0,0,2,3,10,21
5625.21,0,21,0,5,2,0,2,54
8548.49,0,21,0,5,2,5,6,73
4126.46,0,48,0,2,3,0,1,32
6981.28,0,24,0,4,2,3,12,62
1669.27,0,32,0,4,3,5,15,76
4662.03,0,60,0,5,1,4,10,100
8471.8,0,71,0,1,3,3,8,39
5206.16,0,24,0,2,1,5,6,19
3745.78,0,11,0,5,3,3,13,28
8335.85,0,4,0,5,2,5,12,72
6958.63,0,66,0,5,3,4,4,84
9789.45,0,46,0,4,1,1,5,40
8930.91,0,22,0,0,1,3,5,53
8841.1,0,50,0,1,1,1,3,94
1576.91,0,60,0,3,3,2,10,23
8477.21,0,68,0,2,1,0,7,70
9266.91,0,43,0,5,2,4,10,76
44.82,0,4,0,1,2,1,8,83
6733.59,0,11,0,4,1,1,1,39
4882.77,0,63,0,5,1,0,3,18
1446.76,0,46,0,0,2,5,10,31
5209.2,0,34,0,4,2,1,7,34
9523.82,0,12,0,5,2,1,7,41
6976.59,0,4,0,4,3,1,4,22
1795.62,0,53,0,4,1,4,11,16
3059.88,0,41,0,1,2,5,6,95
1481.91,0,44,0,1,1,5,13,23
1179.97,0,43,0,5,3,1,9,83
1862.63,0,23,0,2,2,3,10,59
9453.88,0,64,0,0,3,2,9,81
5767.74,0,21,0,1,3,5,11,36
6203.39,1,37,0,2,3,17,26,0
5015.53,0,50,0,0,2,2,11,93
2360.85,0,53,0,5,1,5,6,14
7624.96,0,34,0,4,2,4,7,30
7684.87,0,34,0,4,2,3,12,17
1876.2,0,12,0,3,1,1,9,39
3161.78,0,4,0,5,1,0,2,60
5048.23,0,63,0,2,2,3,12,13
9762.66,0,23,0,1,3,1,3,52
9458.1,1,47,0,2,6,20,24,0
752.21,0,35,0,2,3,0,9,25
2424.06,0,3,0,1,2,3,4,86
7048.44,0,22,0,3,2,0,10,37
3265.28,0,22,0,4,3,5,10,67
2505.49,0,48,0,0,2,0,8,19
9446.01,0,67,0,4,3,3,13,67
471.04,0,48,0,5,1,1,3,51
4886.25,0,3,0,3,2,2,6,21
5071.34,0,43,0,4,1,4,10,44
9018.44,0,46,0,4,2,1,1,76
9468.15,0,66,0,0,3,5,5,65
9562.59,0,63,0,1,2,2,3,65
4865.45,0,35,0,3,1,1,7,21
7512.99,0,60,0,3,3,0,8,97
3965.75,0,2,0,3,2,1,8,30
3282.83,0,32,0,0,3,3,8,37
4475.17,0,46,0,0,1,1,7,99
5110.2,0,4,0,0,1,2,9,93
3042.22,0,23,0,5,2,2,5,49
6111.07,0,32,0,3,1,5,11,35
3564.62,0,68,0,3,3,4,11,23
4790.39,0,12,0,3,3,5,6,79
2019.84,0,63,0,5,2,3,7,39
9796.6,0,2,0,4,2,5,14,13
8970.14,0,67,0,0,3,3,13,15
1384.96,0,43,0,1,2,3,13,72
3017.4,0,50,0,4,1,2,5,27
4227.86,0,44,0,3,2,1,1,12
3969.65,0,22,0,5,1,5,6,28
1260.09,1,15,0,1,1,5,12,5
9656.58,0,2,0,0,1,3,9,76
4541.79,0,24,0,5,3,3,8,52
70.96,1,57,1,0,10,9,13,8
4341.18,0,44,0,2,2,2,11,11
6238.5,0,2,0,2,2,2,7,12
5147.48,0,23,0,3,1,3,7,48
3428.55,0,23,0,3,1,1,9,34
1109.07,0,2,0,0,3,4,12,16
8805.53,0,32,0,1,3,2,8,72
8111.96,0,46,0,2,1,5,12,20
5090.45,0,23,0,1,3,4,10,81
2729.7,0,12,0,5,1,2,2,74
4684.21,0,68,0,2,2,1,9,40
1261.3,0,22,0,3,3,1,1,40
6875.46,0,21,0,2,3,3,8,10
2140.62,0,23,0,4,2,5,12,100
7680.67,0,54,0,3,1,1,9,49
9183.84,0,23,0,2,3,2,9,22
4068.4,0,54,0,2,1,4,8,28
6994.61,0,4,0,4,1,2,2,95
4209.18,0,43,0,2,1,3,10,30
443.58,0,35,0,2,3,0,2,59
7540.53,0,44,0,5,2,2,11,87
4595.7,0,35,0,5,2,0,6,21
7058.82,0,21,0,1,3,0,4,81
2878.69,0,53,0,3,1,3,4,26
6104.9,0,48,0,4,1,5,13,70
558.1,0,2,0,0,2,5,5,99
2157.64,0,35,0,5,2,3,13,12
4319.49,0,34,0,0,2,3,8,71
3764.12,0,54,0,2,3,1,2,34
5423.23,0,3,0,4,2,3,10,55
1523.83,0,53,0,5,3,4,10,13
431.78,1,62,0,0,7,20,20,4
9332.48,0,54,0,1,3,3,5,57
3193.88,0,71,0,2,1,3,13,54
9491.44,0,44,0,1,2,5,10,42
668.12,0,11,0,2,1,5,6,98
5408.3,1,30,1,1,3,16,20,8
2090.79,1,45,0,5,7,15,21,2
967.34,0,48,0,3,3,0,3,48
2287.33,0,35,0,5,3,5,11,57
8456.29,0,68,0,2,1,2,9,97
8107.94,0,44,0,2,1,3,3,35
7959.66,0,44,0,5,1,5,12,100
4862.0,0,34,0,4,3,3,11,35
5304.88,0,54,0,3,1,2,5,44
4368.21,0,46,0,1,3,2,6,87
7999.78,0,35,0,4,2,1,6,32
2971.81,0,12,0,2,1,4,13,16
2577.66,0,64,0,3,1,1,8,48
6722.6,0,68,0,0,2,5,9,32
7535.5,0,71,0,5,3,2,6,46
9681.6,0,35,0,2,3,1,6,16
9406.32,0,60,0,2,2,1,1,57
9939.89,0,23,0,2,3,4,4,92
6836.66,0,4,0,4,1,1,10,29
4068.74,0,22,0,2,2,1,7,47
5261.95,0,22,0,5,3,4,5,43
3242.8,0,35,0,0,2,1,3,23
6493.03,0,48,0,1,3,4,4,90
5895.53,0,21,0,0,2,3,3,44
7074.46,0,23,0,2,3,0,10,74
8460.49,0,43,0,2,3,2,3,64
2684.49,0,46,0,3,1,5,10,65
2844.82,0,46,0,1,1,1,6,38
1828.52,0,24,0,1,1,3,4,51
1791.23,0,23,0,0,2,1,10,65
526.75,1,55,0,1,2,20,23,6
6894.66,0,22,0,5,2,5,6,43
179.74,0,32,0,3,2,1,1,93
5847.78,0,12,0,5,2,3,9,81
34.64,0,71,0,3,2,0,7,33
2467.98,0,22,0,4,2,2,7,62
5128.96,0,64,0,3,2,5,9,17
469.45,0,21,0,1,2,2,10,68
3991.29,0,71,0,0,3,0,8,18
4103.41,0,46,0,2,2,5,8,88
1626.3,0,71,0,1,1,2,3,47
9278.49,0,35,0,3,1,5,8,27
8910.62,0,34,0,2,2,2,5,44
394.12,0,41,0,5,1,0,9,68
1294.11,0,35,0,1,1,1,2,55
1244.41,0,53,0,1,3,5,8,81
6039.62,0,12,0,0,2,2,8,32
9068.83,0,41,0,2,1,4,11,72
2589.55,0,46,0,3,1,4,13,52
6216.97,0,53,0,3,2,5,12,26
944.48,0,66,0,1,1,5,15,29
374.43,0,2,0,3,2,3,11,12
8302.85,0,50,0,2,1,2,7,34
3185.39,0,50,0,0,1,5,9,85
8940.8,0,4,0,5,2,0,0,77
119.82,0,53,0,0,3,5,12,91
6551.48,0,48,0,4,2,0,2,53
2442.46,1,69,1,3,9,11,20,7
3788.63,1,13,0,5,4,11,17,8
8873.39,0,12,0,4,3,0,8,78
7905.19,0,53,0,5,2,0,7,55
730.6,0,3,0,2,2,4,11,61
1446.37,0,35,0,1,2,0,7,92
6479.49,0,12,0,3,2,1,1,34
9725.16,0,23,0,4,2,1,7,27
2000.29,0,41,0,3,1,4,6,59
6722.97,0,11,0,2,3,5,5,89
9928.11,0,50,0,5,3,1,3,12
1794.48,0,2,0,1,3,5,5,36
7151.4,0,63,0,4,1,5,7,12
4119.99,0,3,0,0,3,5,5,96
9827.75,0,32,0,2,1,3,7,87
9476.8,0,2,0,3,3,2,6,25
7285.58,0,34,0,1,3,5,10,82
3792.13,0,12,0,4,2,1,10,31
768.3,1,29,0,3,7,5,12,6
6395.62,0,54,0,0,1,1,9,78
9703.11,0,68,0,0,3,5,6,68
7682.99,0,63,0,0,3,4,14,56
9989.14,0,71,0,0,1,3,8,72
7257.35,0,50,0,3,3,1,1,47
4815.29,0,34,0,4,2,3,7,59
5126.11,0,64,0,4,1,1,4,15
9903.11,0,23,0,4,3,2,4,63
95.34,0,68,0,2,2,3,4,58
1756.99,0,23,0,4,3,4,7,93
1223.95,1,27,0,3,8,16,25,5
2915.13,0,43,0,3,3,1,10,83
1869.99,0,24,0,2,2,2,12,12
3317.37,0,66,0,0,3,1,5,32
3379.25,0,71,0,3,1,0,5,51
2971.9,0,3,0,3,2,1,8,59
8590.31,0,32,0,3,3,4,14,97
4196.68,0,4,0,4,1,3,10,85
8880.07,0,60,0,5,1,3,3,45
5525.37,0,53,0,4,3,2,7,54
9620.16,0,68,0,1,2,0,7,45
8647.18,0,11,0,1,2,2,2,33
9564.75,0,64,0,3,1,0,1,96
7984.85,0,12,0,1,1,5,13,67
4062.69,0,68,0,0,2,1,7,90
6723.42,1,36,1,2,4,18,23,6
2788.75,0,68,0,5,2,1,6,88
5158.96,0,50,0,1,2,3,3,21
8761.6,0,42,0,1,3,1,4,64
5628.95,0,32,0,5,2,0,7,17
8126.7,0,63,0,2,1,0,3,21
8571.0,0,35,0,4,3,5,15,31
7268.91,0,2,0,3,1,0,1,52
1241.86,0,4,0,4,3,1,8,97
7763.92,0,66,0,2,3,4,5,27
6463.57,0,32,0,3,2,0,7,21
6713.97,0,50,0,2,2,3,5,62
9543.83,0,23,0,5,3,0,6,52
6592.01,0,23,0,0,1,0,5,70
8757.05,0,12,0,1,1,5,8,36
6138.08,0,67,0,4,3,1,9,15
2079.36,0,12,0,1,3,3,11,91
5296.71,0,48,0,5,1,5,15,58
5885.63,0,43,0,5,2,1,11,10
6715.43,0,68,0,2,1,1,2,50
8399.96,0,68,0,5,2,5,8,43
5232.25,0,71,0,5,1,2,10,54
3254.54,0,21,0,2,2,3,10,63
6669.89,0,12,0,3,3,4,12,72
1307.67,0,4,0,0,2,3,10,74
5926.08,0,44,0,3,1,3,6,78
9679.04,0,3,0,0,2,1,1,47
5857.73,0,53,0,1,2,3,4,98
2250.02,0,46,0,1,2,5,9,93
339.15,0,53,0,5,1,0,1,82
